2026-07-01 11:15:36,524 [INFO] Starting monitoring agent on LAPTOP-OIGSK0SV
2026-07-01 11:15:36,524 [INFO] Logged in as: VICTUS
2026-07-01 11:15:44,162 [WARNING] Attempt 1/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:51,359 [WARNING] Attempt 2/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:58,570 [WARNING] Attempt 3/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:58,571 [ERROR] All retry attempts failed. Skipping this reading.
2026-07-01 11:16:09,760 [WARNING] Attempt 1/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:16:16,970 [INFO] Monitoring agent stopped by user.
2026-07-01 11:17:02,027 [INFO] Starting monitoring agent on LAPTOP-OIGSK0SV
2026-07-01 11:17:02,027 [INFO] Logged in as: VICTUS
2026-07-01 11:19:49,903 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 16.2, 'ram': 75.5, 'disk': 58.6, 'network': 31.1, 'timestamp': '2026-07-01T05:49:49.521391+00:00'}
2026-07-01 11:19:56,310 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 36.8, 'ram': 76.5, 'disk': 58.6, 'network': 1.45, 'timestamp': '2026-07-01T05:49:55.916864+00:00'}
2026-07-01 11:20:02,717 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 26.9, 'ram': 75.3, 'disk': 58.6, 'network': 1.83, 'timestamp': '2026-07-01T05:50:02.323860+00:00'}
2026-07-01 11:20:09,029 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 13.0, 'ram': 74.7, 'disk': 58.6, 'network': 6.31, 'timestamp': '2026-07-01T05:50:08.731911+00:00'}
2026-07-01 11:20:15,344 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 17.3, 'ram': 74.8, 'disk': 58.6, 'network': 2.33, 'timestamp': '2026-07-01T05:50:15.043753+00:00'}
2026-07-01 11:20:21,675 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 16.7, 'ram': 74.8, 'disk': 58.6, 'network': 4.48, 'timestamp': '2026-07-01T05:50:21.356489+00:00'}
2026-07-01 11:20:27,991 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 14.8, 'ram': 74.6, 'disk': 58.6, 'network': 2.19, 'timestamp': '2026-07-01T05:50:27.688688+00:00'}
2026-07-01 11:20:39,413 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 15.7, 'ram': 74.8, 'disk': 58.6, 'network': 5.3, 'timestamp': '2026-07-01T05:50:34.004663+00:00'}
2026-07-01 11:20:45,761 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 15.8, 'ram': 75.0, 'disk': 58.6, 'network': 32.17, 'timestamp': '2026-07-01T05:50:45.427917+00:00'}
2026-07-01 11:20:52,081 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 6.3, 'ram': 75.0, 'disk': 58.6, 'network': 3.13, 'timestamp': '2026-07-01T05:50:51.775470+00:00'}
2026-07-01 11:20:58,403 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 31.4, 'ram': 76.3, 'disk': 58.6, 'network': 10.99, 'timestamp': '2026-07-01T05:50:58.093304+00:00'}
2026-07-01 11:21:04,742 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 16.3, 'ram': 78.8, 'disk': 58.6, 'network': 5.67, 'timestamp': '2026-07-01T05:51:04.414434+00:00'}
2026-07-01 11:21:11,064 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 16.3, 'ram': 79.5, 'disk': 58.6, 'network': 1.51, 'timestamp': '2026-07-01T05:51:10.753600+00:00'}
2026-07-01 11:21:17,545 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 20.2, 'ram': 79.6, 'disk': 58.6, 'network': 2.07, 'timestamp': '2026-07-01T05:51:17.076633+00:00'}
2026-07-01 11:21:23,800 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 43.1, 'ram': 85.9, 'disk': 58.7, 'network': 26.19, 'timestamp': '2026-07-01T05:51:23.558081+00:00'}
2026-07-01 11:21:30,267 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 28.3, 'ram': 85.6, 'disk': 58.7, 'network': 24.62, 'timestamp': '2026-07-01T05:51:29.811019+00:00'}
2026-07-01 11:21:36,588 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 13.4, 'ram': 85.2, 'disk': 58.7, 'network': 7004.19, 'timestamp': '2026-07-01T05:51:36.278523+00:00'}
2026-07-01 11:21:42,994 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 18.1, 'ram': 85.1, 'disk': 58.7, 'network': 6.04, 'timestamp': '2026-07-01T05:51:42.600892+00:00'}
2026-07-01 11:21:49,264 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 9.9, 'ram': 84.3, 'disk': 58.7, 'network': 2.86, 'timestamp': '2026-07-01T05:51:49.008195+00:00'}
